"id_organo","id_organoads","codigo","desc_organo","id_clasificacion","cod_onapre","id_estado","id_municipio","id_parroquia","tipo_rif","rif","siglas","direccion_fiscal","gaceta","fecha_gaceta","pagina_web","correo","tel1","tel2","movil1","movil2","usuario","fecha"
87,58,I180000,Asamblea Nacional,1,"6565654646",1,1,1,4,"200000252",No Aplica,CARACAS,"1234567",2020-12-07,www.cas.co.ve,contra0loria@contra.co.ve,"77676765","7777","777","777",1,2021-01-17
88,59,J190000,Ministerio Público,1,"6565654646",1,1,1,4,"200000325",No Aplica,CARACAS,"1234567",2020-12-07,www.cas.co.ve,contralo9ria@contra.co.ve,"77676765","7777","777","777",1,2021-01-17
89,60,K200000,Procuraduría General de la República,1,"6565654646",1,1,1,4,"200001437",No Aplica,CARACAS,"1234567",2020-12-07,www.cas.co.ve,contra7loria@contra.co.ve,"77676765","7777","777","777",1,2021-01-17
90,61,L210000,"Ministerio del Poder Popular para Relaciones Interiores, Justicia y Paz",1,"6565654646",1,1,1,4,"200000015",No Aplica,CARACAS,"1234567",2020-12-07,www.cas.co.ve,"123@contra.co.ve","77676765","7777","777","777",1,2021-01-17
91,62,M220000,Defensoría del Pueblo,1,"6565654646",1,1,1,4,"200015390",No Aplica,CARACAS,"1234567",2020-12-07,www.cas.co.ve,contralgfo6ria@contra.co.ve,"77676765","7777","777","777",1,2021-01-17
92,63,N230000,Vicepresidencia de la República,1,"6565654646",1,1,1,4,"200016639",No Aplica,CARACAS,"1234567",2020-12-07,www.cas.co.ve,cont5raloria@contra.co.ve,"77676765","7777","777","777",1,2021-01-17
93,64,O240000,Ministerio del Poder Popular para la Agricultura Productiva y Tierras,1,"6565654646",1,1,1,4,"200023112",No Aplica,CARACAS,"1234567",2020-12-07,www.cas.co.ve,contr44aloria@contra.co.ve,"77676765","7777","777","777",1,2021-01-17
94,65,P250000,Ministerio del Poder Popular para la Comunicación e Información,1,"6565654646",1,1,1,4,"200030909",No Aplica,CARACAS,"1234567",2020-12-07,www.cas.co.ve,contra443loria@contra.co.ve,"77676765","7777","777","777",1,2021-01-17
95,66,Q260000,Ministerio del Poder Popular del Despacho de la Presidencia y Seguimiento de la Gestión de Gobierno,1,"6565654646",1,1,1,4,"200032669",No Aplica,CARACAS,"1234567",2020-12-07,www.cas.co.ve,contrafgsgxxsfgloria@contra.co.ve,"77676765","7777","777","777",1,2021-01-17
96,67,R270000,Consejo Moral Republicano,1,"6565654646",1,1,1,4,"200035951",No Aplica,CARACAS,"1234567",2020-12-07,www.cas.co.ve,cont35raloria@contra.co.ve,"77676765","7777","777","777",1,2021-01-17
97,68,S280000,Superintendencia Nacional de Auditoría Interna,1,"6565654646",1,1,1,4,"200037369",No Aplica,CARACAS,"1234567",2020-12-07,www.cas.co.ve,contra43loria@contra.co.ve,"77676765","7777","777","777",1,2021-01-17
98,69,T290000,Ministerio del Poder Popular para la Alimentación,1,"6565654646",1,1,1,4,"200043270",No Aplica,CARACAS,"1234567",2020-12-07,www.cas.co.ve,contr543aloria@contra.co.ve,"77676765","7777","777","777",1,2021-01-17
99,70,U300000,Ministerio del Poder Popular de Petróleo,1,"6565654646",1,1,1,4,"200004088",No Aplica,CARACAS,"1234567",2020-12-07,www.cas.co.ve,contr2aloria@con3tra.co.ve,"77676765","7777","777","777",1,2021-01-17
100,71,V310000,Ministerio del Poder Popular para la Cultura,1,"6565654646",1,1,1,4,"200046406",No Aplica,CARACAS,"1234567",2020-12-07,www.cas.co.ve,contra4loria@c2ontra.co.ve,"77676765","7777","777","777",1,2021-01-17
101,72,W320000,Ministerio del Poder Popular para los Pueblos Indígenas,1,"6565654646",1,1,1,4,"200075066",No Aplica,CARACAS,"1234567",2020-12-07,www.cas.co.ve,contralo4ria@co5ntra.co.ve,"77676765","7777","777","777",1,2021-01-17
102,73,X330000,Ministerio del Poder Popular para la Salud,1,"6565654646",1,1,1,4,"200087951",No Aplica,CARACAS,"1234567",2020-12-07,www.cas.co.ve,contr54aloria@contra.co.ve,"77676765","7777","777","777",1,2021-01-17
103,74,Y340000,Ministerio del Poder Popular para las Comunas y los Movimientos Sociales,1,"6565654646",1,1,1,4,"200087714",No Aplica,CARACAS,"1234567",2020-12-07,www.cas.co.ve,co77ntraloria@contra.co.ve,"77676765","7777","777","777",1,2021-01-17
104,75,Z350000,Ministerio del Poder Popular para la Mujer y la Igualdad de Género,1,"6565654646",1,1,1,4,"200088303",No Aplica,CARACAS,"1234567",2020-12-07,www.cas.co.ve,con76traloria@contra.co.ve,"77676765","7777","777","777",1,2021-01-17
105,76,AB360000,Ministerio del Poder Popular para la Energía Eléctrica,1,"6565654646",1,1,1,4,"200091096",No Aplica,CARACAS,"1234567",2020-12-07,www.cas.co.ve,condfsdtraloria@cont94ra.co.ve,"77676765","7777","777","777",1,2021-01-17
106,77,AC370000,Consejo Federal de Gobierno,1,"6565654646",1,1,1,4,"200095733",No Aplica,CARACAS,"1234567",2020-12-07,www.cas.co.ve,cfdontraloria@contra.co.ve,"77676765","7777","777","777",1,2021-01-17
107,78,AD380000,Ministerio del Poder Popular para el Servicio Penitenciario,1,"6565654646",1,1,1,4,"200099003",No Aplica,CARACAS,"1234567",2020-12-07,www.cas.co.ve,contffralori12a@contra.co.ve,"77676765","7777","777","777",1,2021-01-17
108,79,AE390000,Defensa Pública,1,"6565654646",1,1,1,4,"200017210",No Aplica,CARACAS,"1234567",2020-12-07,www.cas.co.ve,contrjhaloria@contra.co.ve,"77676765","7777","777","777",1,2021-01-17
109,80,AF400000,Ministerio del Poder Popular de Planificación,1,"6565654646",1,1,1,4,"200105321",No Aplica,CARACAS,"1234567",2020-12-07,www.cas.co.ve,contra322loria@contra.co.ve,"77676765","7777","777","777",1,2021-01-17
50,50,A100000,Contraloría General de la República,1,"6565654646",1,1,1,4,"200000260",No Aplica,CARACAS,"1234567",2020-12-07,www.ccas.co.ve,contralo8ria@contra.co.ve,"7","7","7","7",1,2021-01-17
51,51,B110000,Consejo Nacional Electoral,1,"6565654646",1,1,1,4,"200000279",No Aplicaica,CARACAS,"1234567",2020-12-07,www.ccas.co.ve,contralori87a@contra.co.ve,"7","7","777","777",1,2021-01-17
52,52,C120000,Ministerio del Poder Popular para Relaciones Exteriores,1,"6565654646",1,1,1,4,"200000023",No Aplica,CARACAS,"1234567",2020-12-07,www.ccas.co.ve,con87traloria@contra.co.ve,"77","7777","777","777",1,2021-01-17
53,53,D130000,Ministerio del Poder Popular para la Defensa,1,"6565654646",1,1,1,4,"200000040",No Aplica,CARACAS,"1234567",2020-12-07,www.ccas.co.ve,contraloiria@co6ntra.co.ve,"7","7777","777","777",1,2021-01-17
